Willow's Reef Aquatics,,,,,,,,,,,,,,,,,,,,,,,,,
Aquarium Plants,,,,,,,,,,,,,,,,,,,,,,,,,
DEADLINE FOR ORDERS:,,,,,,,,,,,,,,,,,,,,,,,,,
*Bulk pricing applies to quantities of 12 or more units,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Last Updated: 11/7/2016,,,,,,,,,,,,,,,,,,,,,,
PRODUCT NUMBER,DESCRIPTION,NAME,RETAIL PRICE/UNIT,,,,,,,,,,,,,,,,,,,,,,
,"HARDY MARGINAL - 2"" - Potted",Golden Club,$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,"HARDY MARGINAL - 2"" - Potted",Houttuynia Chameleon,$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,"HARDY MARGINAL - 2"" - Potted","Iris, Japanese",$4.83 ,,,,,,,,,,,,,,,,,,,,,,
,"HARDY MARGINAL - 2"" - Potted","Iris, Japanese Variegated",$6.90 ,,,,,,,,,,,,,,,,,,,,,,
,"HARDY MARGINAL - 4"" - Potted",Cattail Dwarf,$7.86 ,,,,,,,,,,,,,,,,,,,,,,
,"HARDY MARGINAL - 4"" - Potted",Cattail Variegated,$7.86 ,,,,,,,,,,,,,,,,,,,,,,
,"HARDY MARGINAL - 4"" - Potted",Golden Club,$7.86 ,,,,,,,,,,,,,,,,,,,,,,
,"HARDY MARGINAL - 4"" - Potted",Pickerel Blue,$7.86 ,,,,,,,,,,,,,,,,,,,,,,
,"HARDY MARGINAL - 4"" - Potted",Ribbon Grass Straw,$7.86 ,,,,,,,,,,,,,,,,,,,,,,
,"HARDY MARGINAL - 4"" - Potted",Rush Cork Blue Med.,$8.27 ,,,,,,,,,,,,,,,,,,,,,,
,"HARDY MARGINAL - 4"" - Potted",Rush Horsetail,$7.86 ,,,,,,,,,,,,,,,,,,,,,,
,"HARDY MARGINAL - 4"" - Potted",Sweetflag Golden,$7.86 ,,,,,,,,,,,,,,,,,,,,,,
,"HARDY MARGINAL - 4"" - Potted",Sweetflag Variegated,$7.86 ,,,,,,,,,,,,,,,,,,,,,,
,"HARDY MARGINAL - 4"" - Potted",Thalia Dealbata,$7.86 ,,,,,,,,,,,,,,,,,,,,,,
,Potted plants,ANUBIAS POTTED,,,,,,,,,,,,,,,,,,,,,,,
,Potted plants,AN. BARTERI R.L.,$6.84 ,,,,,,,,,,,,,,,,,,,,,,
,Potted plants,AN. COFFEEFOLIA,$6.74 ,,,,,,,,,,,,,,,,,,,,,,
,Potted plants,AN. CONGENSIS,$6.74 ,,,,,,,,,,,,,,,,,,,,,,
,Potted plants,AN. CONGENSIS - LG,$11.84 ,,,,,,,,,,,,,,,,,,,,,,
,Potted plants,AN. FRAZERI,$6.74 ,,,,,,,,,,,,,,,,,,,,,,
,Potted plants,AN. HASTIFOLIA,$6.74 ,,,,,,,,,,,,,,,,,,,,,,
,Potted plants,AN. NANA,$6.74 ,,,,,,,,,,,,,,,,,,,,,,
,Potted plants,AN. NANJI,$6.74 ,,,,,,,,,,,,,,,,,,,,,,
,Potted plants,AN. NANA N.L.,$6.74 ,,,,,,,,,,,,,,,,,,,,,,
,Potted plants,AN. NANA PETITE,$6.74 ,,,,,,,,,,,,,,,,,,,,,,
,Potted plants,AMAZON - MD,$5.56 ,,,,,,,,,,,,,,,,,,,,,,
,Potted plants,AMAZON - LG,$7.64 ,,,,,,,,,,,,,,,,,,,,,,
,Potted plants,BRAZIL - MD,$5.56 ,,,,,,,,,,,,,,,,,,,,,,
,Potted plants,KLEINER BAR - MD,$5.56 ,,,,,,,,,,,,,,,,,,,,,,
,Potted plants,KLEINER BAR - LG,$8.50 ,,,,,,,,,,,,,,,,,,,,,,
,Potted plants,KLEINER PRINZ - MD,$6.08 ,,,,,,,,,,,,,,,,,,,,,,
,Potted plants,MELON - MD,$6.08 ,,,,,,,,,,,,,,,,,,,,,,
,Potted plants,MELON - LG,$9.36 ,,,,,,,,,,,,,,,,,,,,,,
,Potted plants,ORIENTAL - MD,$5.56 ,,,,,,,,,,,,,,,,,,,,,,
,Potted plants,ORIENTAL - LG,$8.50 ,,,,,,,,,,,,,,,,,,,,,,
,Potted plants,OZELOT - MD,$5.56 ,,,,,,,,,,,,,,,,,,,,,,
,Potted plants,OZELOT - LG,$8.50 ,,,,,,,,,,,,,,,,,,,,,,
,Potted plants,OZELOT GREEN-MD,$5.56 ,,,,,,,,,,,,,,,,,,,,,,
,Potted plants,OZELOT GREEN-LG,$8.50 ,,,,,,,,,,,,,,,,,,,,,,
